"id_car_modification","id_car_equipment","name","year"
"241851","23310","	2.0 3TD4 AT R-Dynamic SE","2019"
"241848","23314","	2.0 Si4 AT R-Dynamic S","2019"
"241741","23237","	250 AT Avantgarde L2","2019"
"177040","22651","	НД23/81"," "
"241735","23230","	Aqua","2019"
"204119","12805","\'Edition30\' (5 мест)"," "
"204126","12850","\'Edition30\' (5 мест)"," "
"204119","12806","\'Edition30\' (7 мест)"," "
"204126","12849","\'Edition30\' (7 мест)"," "
"267461","26267","\'Move\'"," "
"63765","24206","#Club"," "
"268467","26784","#Club"," "
"268467","27983","#CLUB + EnjoY Pro"," "
"268467","27581","#Club\'22"," "
"240395","22608","#discover"," "
"240395","22606","#enjoy"," "
"240396","22609","#enjoy"," "
"240396","22611","#feel"," "
"240395","22607","#FSport"," "
"240396","22610","#FSport"," "
"240395","22605","#live"," "
"271610","27601","1 LT"," "
"271611","27602","1 LT RS"," "
"252839","25099","1.4"," "
"265152","25109","1.4"," "
"252841","25102","1.6"," "
"265153","25111","1.6"," "
"241030","22713","1.6 CVT Классик, двигатель 1ZR-FE","2019"
"241030","22714","1.6 CVT Комфорт, двигатель 1ZR-FE","2019"
"241030","22716","1.6 CVT Престиж Safety, двигатель 1ZR-FE","2019"
"241030","22715","1.6 CVT Престиж, двигатель 1ZR-FE","2019"
"30175","25594","1.6 HDi L1"," "
"266326","25596","1.6 HDi L2"," "
"266322","25593","1.6 VTi L1"," "
"266324","25595","1.6 VTi L2"," "
"241754","23278","1.8 L","2013"
"241753","23279","1.8 L","2013"
"241755","23272","1.8 LE","2013"
"241756","23269","1.8 LE Eco","2013"
"241755","23273","1.8 LE Plus","2013"
"241756","23270","1.8 LE Plus Eco","2013"
"241755","23274","1.8 LE Premium","2013"
"241756","23271","1.8 LE Premium Eco","2013"
"241755","23275","1.8 S","2013"
"241753","23280","1.8 S","2013"
"241755","23276","1.8 S Plus","2013"
"241755","23277","1.8 S Premium","2013"
"252842","25104","1.8T 1.9TDI"," "
"252850","25107","1.8T 1.9TDI"," "
"265157","25114","1.8T 1.9TDI"," "
"265163","25118","1.8T 1.9TDI"," "
"203213","12664","1A","2014"
"203213","12667","1A","2013"
"203220","12678","1A","2013"
"203220","12683","1A","2014"
"185946","11865","1J"," "
"185947","11868","1J"," "
"241851","23307","2.0 3TD4 AT HSE","2019"
"241851","23308","2.0 3TD4 AT R-Dynamic HSE","2019"
"241851","23309","2.0 3TD4 AT R-Dynamic S","2019"
"241851","23311","2.0 3TD4 AT S","2019"
"241851","23312","2.0 3TD4 AT SE","2019"
"241851","23313","2.0 3TD4 AT Standard","2019"
"249119","23332","2.0 45 TFSI quattro S tronic","2019"
"249119","23333","2.0 45 TFSI quattro S tronic Advance","2019"
"249119","23334","2.0 45 TFSI quattro S tronic Design","2019"
"249119","23335","2.0 45 TFSI quattro S tronic Sport","2019"
"241023","22692","2.0 AT First Edition, марка двигателя 204PT Ingenium","2018"
"241023","22693","2.0 AT R-Dynamic HSE, 204PT Ingenium","2018"
"241022","22687","2.0 AT R-Dynamic S, марка двигателя 204PT Ingenium","2018"
"241023","22694","2.0 AT R-Dynamic S, марка двигателя 204PT Ingenium","2018"
"241022","22688","2.0 AT R-Dynamic SE, марка двигателя 204PT Ingenium","2018"
"241023","22696","2.0 AT R-Dynamic SE, марка двигателя 204PT Ingenium","2018"
"241022","22689","2.0 AT S, марка двигателя 204PT Ingenium","2018"
"241023","22695","2.0 AT S, марка двигателя 204PT Ingenium","2018"
"241022","22690","2.0 AT SE, марка двигателя 204PT Ingenium","2018"
"241023","22698","2.0 AT SE, марка двигателя 204PT Ingenium","2018"
"241022","22686","2.0 AT, марка двигателя 204PT Ingenium","2018"
"241023","22691","2.0 AT, марка двигателя 204PT Ingenium","2018"
"241847","23299","2.0 CVT Comfort","2019"
"241847","23300","2.0 CVT Techno","2019"
