"id_car_option","name"
"1","Комфорт"
"2","Гидроусилитель руля"
"3","Регулировка рулевой колонки по углу наклона"
"4","Регулировка рулевой колонки по вылету"
"5","Датчики дождя и света"
"6","Омыватели фар"
"7","Электропривод задних стекол"
"8","Электрически cкладывающиеся зеркала заднего вида"
"9","Электропривод боковых зеркал"
"10","Регулировка высоты сиденья водителя"
"11","Климат и обогрев"
"12","Климат-контроль"
"13","Обогрев лобового стекла"
"14","Обогрев боковых зеркал"
"15","Обогрев передних сидений"
"17","Мультимедиа"
"20","6 динамиков"
"21","CD-проигрыватель"
"22","Поддержка MP3"
"23","Охранные системы"
"26","Пассивная безопасность"
"27","Подушки безопасности водителя"
"28","Подушки безопасности пассажира"
"29","Подушки безопасности боковые передние"
"30","Подушки безопасности занавесочного типа"
"31","Крепление для детского сиденья ISOFIX"
"32","Активная безопасность и подвеска"
"33","Антиблокировочная система тормозов (ABS)"
"34","Система курсовой устойчивости (ESP)"
"35","Система распределения тормозных усилий"
"37","Датчики парковки сзади"
"38","Экстерьер"
"39","Легкосплавные колесные диски"
"41","Окраска кузова металлик"
"42","Окраска белый перламутр BLANC NACRE"
"43","Приборы освещения"
"45","Выключение переднего освещения с задержкой (функция \""Проводи меня домой\"")"
"46","Интерьер"
"47","Тканевая обивка салона"
"49","Гидроусилитель руля с варьируемым усилием"
"50","Задние электрические стеклоподъемники"
"51","Электрозамок дверцы багажника"
"52","Отделение для очков (в комплектациях без люка)"
"53","Внутрисалонный фильтр"
"54","Радио"
"55","Центральный замок c пультом PLIP"
"56","Крепление для детского сиденья ISOFIX на двух задних сиденьях"
"57","Боковые зеркала в цвет кузова"
"58","Окраска BLANC ANTARCTIQUE"
"59","Дверные ручки в цвет кузова"
"60","Нижняя створка задней дверцы, рассчитанная на 200 кг веса (высота загрузки: 60 см)"
"61","Задний спойлер с интегрированным стоп-сигналом на светодиодах"
"62","Литые диски 16\"" Itoka, Michelin 215/70 R16"
"75","Автоматическое включение фар ближнего света+выключение фар с задержкой"
"76","Отделка приборной панели тонкой кожей"
"77","Отделка сидений C&T Diamant Noir и другими сопровождающими материалами"
"78","Ксеноновые фары"
"79","Окраска кузова перламутр"
"80","Электропривод водительского сиденья"
"81","Электропривод пассажирского сиденья"
"82","CD-чейнджер"
"83","Коммуникационная система Bluetooth"
"85","Биксеноновые фары"
"86","Кожаная обивка салона"
"87","2 ряд сидений складывающийся автоматически"
"89","Регулировка пассажирского сиденья в продольном положении и по углу наклона спинки сиденья"
"90","Устройство «hands-free»"
"91","Боковые подножки черного цвета, хромированное обрамление боковых стекол"
"92","Тонированные заднее и боковые стекла на 62%"
"93","Серебристые вставки в отделке центральной консоли и отделке дверей"
"94","Mitsi и другими сопровождающими материалами"
