'id_car_model','id_car_mark','name','name_rus','date_create','date_update','id_car_type'
'1','1','378 GT Zagato','378 ГТ Загато','1398979509','1653251460','1'
'2','1','ACE','АЦЕ','1398979509','1567847762','1'
'3','1','Aceca','Ацеца','1398979509','1567847762','1'
'4','1','Cobra','Кобра','1398979509','1567847763','1'
'5','2','CL','Кл','1398979510','1567847763','1'
'6','2','CSX','ЦСИкс','1398979510','1567847764','1'
'7','2','EL','Эл','1398979510','1567847764','1'
'8','2','ILX','ИЛИкс','1398979510','1653251462','1'
'9','2','Integra','Интегра','1398979510','1567847766','1'
'10','2','Legend','Легенда','1398979510','1653251462','1'
'11','2','MDX','МДИкс','1620361120','1567847767','1'
'12','2','NSX','НСИкс','1398979510','1567847768','1'
'13','2','RDX','РДИкс','1398979510','1567847769','1'
'14','2','RL','РЛ','1398979510','1567847769','1'
'15','2','RLX',NULL,'1398979510','1434655546','1'
'16','2','RSX','РСИкс','1398979510','1567847770','1'
'17','2','SLX','СЛИкс','1398979510','1567847770','1'
'18','2','TL','ТЛ','1398979510','1567847771','1'
'19','2','TSX','ЦХ','1398979510','1567847772','1'
'20','2','ZDX','ЗДИкс','1398979510','1567847773','1'
'21','3','145','145','1398979511','1567847774','1'
'22','3','146','146','1398979511','1567847774','1'
'23','3','147','147','1398979511','1567847775','1'
'24','3','155','155','1398979511','1567847776','1'
'25','3','156','156','1398979511','1567847776','1'
'26','3','159','159','1398979511','1567847777','1'
'27','3','164','164','1398979511','1567847777','1'
'28','3','166','166','1398979511','1567847778','1'
'29','3','33','33','1398979511','1567847782','1'
'30','3','4C','4С','1398979511','1567847782','1'
'31','3','Alfa 6','Альфа 6','1398979511','1653251473','1'
'32','3','75','75','1398979511','1567847783','1'
'33','3','8C Competizione','8Ц Компретизион','1398979511','1567847783','1'
'34','3','90','90','1398979511','1653251473','1'
'35','3','Alfasud','Альфасуд','1398979511','1653251473','1'
'36','3','Alfetta','Альфетта','1398979511','1653251473','1'
'37','3','Arna','Арна','1398979511','1653251473','1'
'38','3','Brera','Брера','1398979511','1567847787','1'
'39','3','Giulia','Джулия','1398979511','1567847788','1'
'40','3','Giulietta','Джульетта','1398979511','1567847789','1'
'41','3','GT','ГТ','1398979511','1567847789','1'
'42','3','GTA Coupe',NULL,'1398979511','1461509704','1'
'43','3','GTV','ГТВ','1398979511','1567847790','1'
'44','3','MiTo','Мито','1398979511','1567847791','1'
'45','3','Montreal','Монреаль','1398979511','1653251477','1'
